RA,IAA,IEG,IPS,math,portuguese,lag,year
RA-878,"0,0","9,5","2,52","8,0","8,2",-2,2023
RA-879,"0,0","9,8","2,52","8,2","8,2",-1,2023
RA-880,"0,0","9,4","2,52","6,3","6,2",0,2023
RA-881,"10,0","8,9","7,52","7,5","7,0",0,2023
RA-882,"9,0","8,6","2,52","4,8","4,5",0,2023
RA-883,"9,5","9,7","6,89","8,0","8,7",0,2023
RA-884,"9,0","9,7","4,39","8,4","9,2",0,2023
RA-885,"9,0","9,8","7,52","8,5","8,8",0,2023
RA-886,"8,5","9,4","7,52","7,6","8,5",0,2023
RA-887,"8,9","8,9","7,52","7,8","9,0",0,2023
RA-888,"9,0","10,0","7,52","8,2","9,3",0,2023
RA-889,"8,5","9,5","6,89","8,7","9,5",0,2023
RA-890,"0,0","9,1","2,52","8,0","8,6",0,2023
RA-891,"9,5","9,5","6,89","6,2","8,8",-1,2023
RA-684,"9,0","8,1","7,52","8,3","4,7",0,2023
RA-892,"8,0","9,6","6,89","8,5","8,0",0,2023
RA-857,"8,5","9,0","7,52","8,7","8,2",-1,2023
RA-893,"9,5","10,0","7,52","9,5","9,0",-1,2023
RA-894,"9,5","9,9","7,52","9,3","9,5",-1,2023
RA-690,"9,0","9,8","6,89","9,3","8,8",-2,2023
RA-895,"9,5","9,5","7,52","6,8","6,7",0,2023
RA-896,"9,5","10,0","6,89","9,0","8,0",0,2023
RA-693,"10,0","9,4","6,89","8,2","8,7",0,2023
RA-675,"10,0","8,0","7,52","8,5","8,0",0,2023
RA-850,"0,0","7,9","6,26","6,8","7,7",-1,2023
RA-897,"0,0","8,1","7,52","7,2","5,7",-1,2023
RA-842,"9,0","8,5","3,77","8,2","7,5",-1,2023
RA-898,"9,0","9,8","3,77","9,7","9,0",-1,2023
RA-899,"10,0","9,8","3,77","9,3","9,6",0,2023
RA-900,"9,0","9,8","9,38","8,0","7,5",0,2023
RA-846,"9,5","8,2","3,77","6,3","5,7",0,2023
RA-901,"8,5","8,7","3,77","7,7","7,3",-2,2023
RA-743,"0,0","9,1","3,77","7,3","6,8",-2,2023
RA-681,"0,0","7,8","3,77","8,8","7,8",-2,2023
RA-902,"10,0","9,3","2,52","4,5","3,3",-3,2023
RA-903,"10,0","9,6","5,02","7,7","7,8",0,2023
RA-851,"8,4","7,5","2,52","6,8","6,3",-1,2023
RA-847,"7,9","9,1","2,52","7,5","7,6",-2,2023
RA-904,"9,0","9,3","7,52","6,0","6,8",0,2023
RA-858,"0,0","8,1","3,77","9,3","9,2",0,2023
RA-905,"9,5","9,4","7,52","7,5","9,0",-1,2023
RA-702,"10,0","10,0","5,63","9,3","9,3",-1,2023
RA-725,"9,5","9,0","7,52","8,1","8,7",-1,2023
RA-906,"7,5","9,2","7,52","7,7","9,4",0,2023
RA-907,"9,5","9,6","7,52","9,2","9,4",0,2023
RA-908,"9,0","9,0","7,52","6,7","9,0",0,2023
RA-909,"10,0","9,9","7,52","9,1","9,2",-2,2023
RA-708,"0,0","9,8","7,52","8,8","9,5",-1,2023
RA-910,"0,0","8,8","7,52","8,8","9,0",0,2023
RA-671,"7,9","8,3","3,14","8,0","7,5",-2,2023
RA-836,"9,5","9,6","6,27","6,7","6,7",-2,2023
RA-911,"9,0","6,7","2,52","3,7","3,0",-2,2023
RA-860,"7,0","9,8","6,89","7,2","7,5",0,2023
RA-727,"9,5","8,8","2,52","8,3","7,7",-1,2023
RA-739,"9,0","8,3","7,52","7,3","7,8",-1,2023
RA-740,"0,0","8,7","7,52","9,0","9,2",-2,2023
RA-912,"7,0","9,4","7,52","6,2","6,3",-1,2023
RA-706,"9,0","7,8","4,39","6,7","7,8",-2,2023
RA-840,"9,5","9,0","4,38","8,3","8,0",-1,2023
RA-841,"0,0","7,2","7,52","6,7","7,0",-2,2023
RA-709,"10,0","7,9","7,52","5,5","4,3",-2,2023
RA-913,"8,0","8,5","6,89","9,5","6,3",-2,2023
RA-726,"10,0","6,1","7,52","6,2","5,8",0,2023
RA-914,"10,0","9,2","7,52","9,0","8,4",0,2023
RA-915,"10,0","8,4","7,52","8,1","8,7",0,2023
RA-916,"9,5","9,7","2,52","7,7","5,5",-1,2023
RA-917,"0,0","7,2","2,52","5,3","8,7",0,2023
RA-918,"10,0","8,7","2,52","7,1","8,3",0,2023
RA-919,"0,0","8,4","7,52","5,5","5,0",-1,2023
RA-920,"9,0","6,3","7,52","6,0","6,2",0,2023
RA-921,"9,0","9,7","7,52","6,5","6,0",0,2023
RA-922,"8,5","9,7","3,14","8,5","8,2",0,2023
RA-715,"0,0","9,5","3,14","4,5","6,3",-2,2023
RA-822,"8,5","8,4","2,52","8,0","6,2",-2,2023
RA-923,"9,5","9,9","7,52","7,5","7,0",0,2023
RA-742,"0,0","7,6","7,52","6,2","8,8",-2,2023
RA-924,"9,0","5,6","7,52","5,0","5,0",0,2023
RA-925,"9,0","8,9","7,52","5,2","5,5",0,2023
RA-853,"10,0","9,5","3,77","7,2","7,5",-1,2023
RA-854,"0,0","9,5","3,77","7,5","4,5",0,2023
RA-700,"9,5","9,7","7,52","7,5","8,0",-1,2023
RA-701,"9,5","9,9","3,77","7,3","7,0",-2,2023
RA-856,"0,0","9,6","7,52","7,5","7,0",0,2023
RA-672,"7,9","9,5","2,52","6,0","6,7",-2,2023
RA-859,"8,0","9,2","7,52","6,8","7,8",0,2023
RA-704,"10,0","9,9","3,14","6,5","5,7",-2,2023
RA-741,"9,5","6,9","4,39","4,2","6,0",-2,2023
RA-719,"9,5","5,3","7,52","7,0","4,7",-2,2023
RA-926,"9,0","10,0","3,77","6,5","7,0",-1,2023
RA-927,"9,0","9,7","3,77","7,0","5,8",-1,2023
RA-928,"8,5","10,0","7,52","9,8","9,8",0,2023
RA-929,"8,5","9,8","7,52","8,7","8,9",0,2023
RA-930,"9,0","8,8","7,52","8,7","9,3",0,2023
RA-931,"8,5","8,2","2,52","7,0","8,5",0,2023
RA-932,"9,5","7,9","7,52","6,5","8,4",0,2023
RA-933,"9,0","8,4","7,52","8,0","7,3",0,2023
RA-934,"9,0","9,6","7,52","8,3","9,0",0,2023
RA-935,"0,0","9,8","7,52","9,2","9,5",-1,2023
RA-936,"9,0","10,0","7,52","5,0","8,0",0,2023
RA-937,"9,5","9,6","7,52","9,0","9,3",0,2023
RA-756,"10,0","8,7","7,52","5,4","6,8",-2,2023
RA-938,"8,5","8,4","7,52","0,0","8,3",-1,2023
RA-939,"9,0","10,0","7,52","5,0","5,7",-2,2023
RA-789,"0,0","9,5","7,52","8,5","7,2",0,2023
RA-792,"9,0","7,7","7,52","6,8","7,5",-2,2023
RA-940,"9,0","8,4","2,52","6,8","5,7",-2,2023
RA-941,"8,0","10,0","7,52","5,0","5,0",0,2023
RA-942,"9,5","8,9","2,52","7,3","6,8",-2,2023
RA-943,"9,5","9,4","7,52","8,0","8,0",0,2023
RA-782,"8,5","9,8","2,52","8,3","6,7",-1,2023
RA-768,"10,0","9,1","7,52","8,0","7,8",-2,2023
RA-794,"9,0","9,2","7,52","5,2","7,2",-1,2023
RA-795,"9,0","9,6","7,52","8,7","7,7",-1,2023
RA-944,"9,0","7,6","7,52","9,2","5,8",-1,2023
RA-945,"8,5","9,2","7,52","8,0","7,8",0,2023
RA-946,"9,5","9,4","7,52","9,0","9,5",0,2023
RA-754,"9,5","6,1","2,52","5,7","5,4",-2,2023
RA-947,"9,0","7,9","7,52","1,7","4,9",0,2023
RA-948,"9,0","7,6","7,52","0,0","0,0",0,2023
RA-949,"9,5","8,1","7,52","9,1","8,6",0,2023
RA-950,"9,0","10,0","7,52","9,5","9,0",0,2023
RA-773,"10,0","7,5","2,52","8,0","7,8",-1,2023
RA-951,"9,5","9,7","7,52","8,5","8,3",0,2023
RA-769,"10,0","9,3","3,77","8,2","7,8",-2,2023
RA-952,"9,5","9,2","3,77","8,8","9,2",0,2023
RA-826,"10,0","10,0","3,77","7,0","7,5",-1,2023
RA-953,"7,4","8,8","3,14","8,5","8,0",0,2023
RA-954,"0,0","8,3","3,14","7,8","7,5",0,2023
RA-780,"9,5","8,8","3,14","8,0","8,5",-2,2023
RA-955,"9,0","8,8","3,14","8,0","7,5",-2,2023
RA-831,"8,0","9,4","3,77","8,8","7,8",-1,2023
RA-783,"9,5","6,8","3,77","9,0","8,7",-1,2023
RA-774,"0,0","9,5","3,14","7,7","6,0",-1,2023
RA-748,"9,5","9,7","7,52","9,0","9,2",-2,2023
RA-749,"10,0","9,0","7,52","7,3","7,3",-1,2023
RA-956,"8,0","7,5","7,52","7,8","7,8",-2,2023
RA-787,"9,0","9,8","7,52","6,0","5,8",-1,2023
RA-957,"10,0","9,3","7,52","9,0","9,2",0,2023
RA-753,"9,0","9,9","7,52","9,0","9,0",-1,2023
RA-958,"10,0","9,8","7,52","9,3","9,3",0,2023
RA-755,"10,0","9,5","7,52","9,2","9,2",-1,2023
RA-763,"0,0","9,2","3,14","7,8","8,0",-2,2023
RA-757,"9,0","9,6","7,52","9,5","9,0",-2,2023
RA-959,"10,0","9,6","7,52","7,7","7,7",0,2023
RA-960,"8,5","10,0","7,52","6,5","6,0",-2,2023
RA-961,"0,0","8,7","2,52","6,2","6,2",-1,2023
RA-962,"9,0","9,2","7,52","9,5","7,8",-1,2023
RA-805,"0,0","9,1","7,52","6,8","6,8",-1,2023
RA-806,"8,5","8,3","6,27","7,8","7,7",-1,2023
RA-807,"9,5","9,1","7,52","8,3","7,7",-1,2023
RA-963,"9,5","9,8","7,52","8,3","8,7",-1,2023
RA-964,"8,5","9,4","7,52","7,3","7,0",-1,2023
RA-965,"8,5","8,2","6,27","5,3","4,0",-1,2023
RA-966,"10,0","10,0","7,52","5,0","5,0",-1,2023
RA-967,"9,5","8,0","7,52","6,5","6,5",-2,2023
RA-968,"9,0","9,7","7,52","8,0","8,5",-1,2023
RA-812,"9,5","9,1","7,52","6,3","5,3",0,2023
RA-969,"8,5","9,7","7,52","6,0","5,0",0,2023
RA-970,"8,5","8,1","7,52","9,2","9,5",0,2023
RA-971,"7,8","6,4","3,77","5,5","8,3",0,2023
RA-972,"9,0","9,1","3,77","6,2","5,7",0,2023
RA-973,"0,0","8,6","3,77","6,2","4,1",-1,2023
RA-974,"9,0","9,1","3,77","8,8","8,8",0,2023
RA-975,"7,9","9,2","7,52","7,2","5,8",0,2023
RA-976,"9,5","9,2","6,27","9,0","8,2",0,2023
RA-977,"8,5","7,4","5,02","5,7","5,9",0,2023
RA-978,"9,0","9,8","3,77","8,7","8,5",0,2023
RA-979,"9,5","9,6","6,27","6,0","6,0",0,2023
RA-980,"0,0","9,8","5,02","6,5","6,0",0,2023
RA-808,"10,0","10,0","2,52","8,7","8,7",-1,2023
RA-981,"9,5","9,1","2,52","5,7","5,8",0,2023
RA-982,"0,0","9,1","2,52","8,7","8,5",0,2023
RA-983,"8,5","9,9","2,52","8,8","8,8",0,2023
RA-984,"8,0","9,8","7,52","8,3","8,2",0,2023
RA-985,"9,0","9,3","2,52","7,3","6,2",0,2023
RA-986,"9,5","9,1","2,52","8,3","8,3",0,2023
RA-987,"0,0","9,8","6,27","7,5","7,0",0,2023
RA-988,"7,9","8,1","7,52","8,5","8,5",-1,2023
RA-989,"9,5","8,1","2,52","8,7","7,8",-1,2023
RA-677,"10,0","8,2",10,"9,0","8,3",-1,2023
RA-990,"0,0","8,5","7,52","8,3","7,2",-1,2023
RA-991,"10,0","9,1","3,14","8,0","7,3",-1,2023
RA-992,"9,5","8,2","3,14","8,2","7,8",-2,2023
RA-703,"9,5","8,4","3,14","4,8","4,3",-2,2023
RA-993,"9,5","9,8","3,77","8,5","8,7",0,2023
RA-674,"7,9","8,5","3,77","5,3","5,0",-1,2023
RA-994,"9,5","9,4","3,77","6,2","5,7",0,2023
RA-995,"9,5","7,9","3,77","5,3","4,8",-2,2023
RA-996,"10,0","9,2","3,77","8,7","8,5",-1,2023
RA-997,"7,5","8,7","3,77","7,2","7,0",0,2023
RA-998,"9,5","9,3","3,77","8,0","7,7",-2,2023
RA-999,"9,0","9,4","3,77","8,3","8,3",-1,2023
RA-750,"9,5","7,7","3,14","3,3","3,5",-2,2023
RA-770,"0,0","8,3","3,77","6,0","5,7",0,2023
RA-771,"0,0","8,8","3,14","8,2","8,2",0,2023
RA-1000,"8,5","9,4","3,77","7,0","7,0",0,2023
RA-830,"0,0","8,9","3,14","8,3","8,3",-1,2023
RA-1001,"9,0","9,1","7,52","8,3","7,3",-1,2023
RA-1002,"9,0","9,7","7,52","7,0","7,0",-1,2023
RA-1003,"9,0","8,5","7,52","8,0","0,0",0,2023
RA-835,"8,0","8,5","7,52","8,5","8,9",0,2023
RA-1004,"9,0","9,6","7,52","6,5","9,2",0,2023
RA-1005,"9,5","7,9","7,52","8,4","9,2",0,2023
RA-1006,"9,0","9,3","7,52","8,7","8,6",0,2023
RA-705,"0,0","8,3","6,89","8,9","8,6",-2,2023
RA-1007,"9,0","7,4","7,52","8,1","8,5",0,2023
RA-1008,"9,0","8,6","7,52","7,5","9,2",0,2023
RA-729,"8,0","9,1","3,77","8,2","8,9",-1,2023
RA-1009,"0,0","9,0","3,77","8,3","9,2",0,2023
RA-1010,"9,5","10,0","3,77","9,0","9,8",0,2023
RA-1011,"9,5","8,6","3,77","5,5","4,8",0,2023
RA-1012,"10,0","9,9","3,77","7,0","6,2",0,2023
RA-1013,"9,0","9,6","4,39","7,0","9,5",0,2023
RA-1014,"9,0","9,7","3,77","7,7","8,7",0,2023
RA-1015,"10,0","9,3","6,27","5,0","7,6",-1,2023
RA-734,"8,5","8,0","7,52","6,8","7,0",-1,2023
RA-687,"8,0","9,0","7,52","6,7","7,0",-1,2023
RA-1016,"10,0","9,5","7,52","5,8","7,5",-1,2023
RA-1017,"0,0","8,0","5,02","7,0","8,3",-1,2023
RA-688,"8,5","9,3","7,52","8,2","9,0",-1,2023
RA-1018,"0,0","8,5","5,02","5,8","6,8",0,2023
RA-696,"0,0","9,4","5,02","5,2","8,2",0,2023
RA-1019,"7,5","9,1","5,02","0,5","8,0",1,2023
RA-514,"7,9","7,5","2,52","4,2","6,8",-1,2023
RA-1020,"10,0","9,1","2,52","4,3","7,8",0,2023
RA-1021,"8,0","9,2","3,77","2,5","4,0",0,2023
RA-1022,"8,5","8,5","3,77","4,7","4,7",0,2023
RA-1023,"10,0","10,0","6,27","8,5","9,7",0,2023
RA-699,"8,5","8,3","3,77","5,7","6,2",-1,2023
RA-480,"10,0","9,7","7,52","7,2","8,5",-1,2023
RA-678,"8,0","8,8","6,27","6,8","7,7",-1,2023
RA-1024,"0,0","10,0","6,27","10,0","9,5",-1,2023
RA-502,"8,5","9,8","7,52","6,7","9,3",0,2023
RA-1025,"8,5","8,9","7,52","7,5","7,5",0,2023
RA-680,"0,0","9,1","7,52","5,2","7,5",-1,2023
RA-1026,"8,5","9,8","7,52","2,3","4,0",-3,2023
RA-698,"8,5","9,9","2,52","4,3","7,0",0,2023
RA-533,"9,0","9,3","7,52","4,8","6,7",-1,2023
RA-504,"8,0","8,3","7,52","6,5","9,2",0,2023
RA-1027,"9,5","9,7","7,52","4,2","7,7",-1,2023
RA-529,"8,0","9,6","7,52","4,8","8,7",-2,2023
RA-1028,"0,0","9,2","7,52","5,0","5,0",-1,2023
RA-686,"8,5","9,0","7,52","7,3","8,7",-1,2023
RA-1029,"10,0","6,3","3,77","3,5","7,2",0,2023
RA-1030,"8,5","9,7","3,77","6,2","7,5",-1,2023
RA-522,"7,5","9,2","7,52","8,3","8,2",-1,2023
RA-501,"7,0","8,4","7,52","9,2","8,5",-1,2023
RA-692,"7,4","7,7","7,52","2,8","6,3",-1,2023
RA-527,"9,0","9,1","7,52","5,7","7,2",-1,2023
RA-1031,"8,0","8,8","7,52","4,8","7,0",-1,2023
RA-1032,"8,5","9,5","7,52","5,7","6,2",-1,2023
RA-1033,"9,0","8,9","7,52","7,0","8,8",-1,2023
RA-1034,"7,5","9,0","7,52","7,8","8,7",-1,2023
RA-1035,"0,0","8,3","7,52","4,0","7,5",0,2023
RA-730,"10,0","8,7","5,02","7,8","7,7",-1,2023
RA-855,"9,5","10,0","7,52","5,2","8,3",0,2023
RA-820,"7,9","7,4","7,52","9,2","8,5",-1,2023
RA-738,"8,0","9,3","7,52","4,2","7,8",0,2023
RA-1036,"0,0","9,6","3,77","9,0","7,0",-1,2023
RA-1037,"9,0","8,4","7,52","5,0","8,3",-1,2023
RA-576,"9,0","9,3","5,02","6,5","9,5",-1,2023
RA-1038,"8,0","9,3","7,52","7,5","5,5",-1,2023
RA-1039,"8,0","9,9","7,52","6,0","6,3",-2,2023
RA-1040,"10,0","9,3","7,52","5,8","7,3",-1,2023
RA-1041,"10,0","7,2","7,52","1,8","4,7",-1,2023
RA-733,"10,0","8,7","7,52","4,3","8,0",0,2023
RA-837,"9,0","9,3","7,52","6,3","7,7",0,2023
RA-519,"9,0","9,9","7,52","7,5","7,2",-1,2023
RA-521,"0,0","9,9","3,77","7,0","8,7",-1,2023
RA-1042,"0,0","6,5","3,77","4,0","4,5",-1,2023
RA-713,"8,0","9,6","3,77","6,7","8,2",-1,2023
RA-736,"8,5","9,5","6,27","4,8","8,5",-1,2023
RA-1043,"10,0","7,9","6,27","2,0","3,0",-1,2023
RA-716,"9,0","8,7","3,77","5,0","6,2",-1,2023
RA-1044,"8,0","9,7","7,52","4,5","7,7",-1,2023
RA-745,"9,5","9,3","3,77","5,7","8,2",-1,2023
RA-717,"0,0","8,5","7,52","5,5","6,3",-1,2023
RA-718,"9,5","9,1","3,77","6,3","9,2",0,2023
RA-721,"8,5","9,5","7,52","7,5","9,3",0,2023
RA-746,"0,0","8,0","3,77","6,0","8,3",0,2023
RA-1045,"9,5","9,4","7,52","6,8","9,0",-1,2023
RA-483,"9,0","6,0","2,52","5,0","6,2",-2,2023
RA-1046,"0,0","8,5","3,77","6,3","6,3",0,2023
RA-1047,"10,0","8,5","3,77","5,8","8,0",0,2023
RA-570,"8,5","7,3","3,77","5,7","6,0",-1,2023
RA-1048,"8,5","9,5","3,77","7,5","8,8",-1,2023
RA-1049,"10,0","7,7","7,52","5,5","7,0",-1,2023
RA-1050,"9,0","9,2","6,27","6,2","8,2",-1,2023
RA-1051,"8,5","8,9","6,27","7,0","9,8",0,2023
RA-707,"0,0","9,8","3,77","5,5","7,5",-1,2023
RA-1052,"0,0","9,0","7,52","5,0","5,5",0,2023
RA-580,"8,5","9,8","7,52","8,7","9,3",-1,2023
RA-581,"8,0","9,8","7,52","7,0","8,8",-1,2023
RA-735,"0,0","9,0","7,52","7,7","8,5",-1,2023
RA-710,"9,5","9,0","3,77","5,7","7,3",-1,2023
RA-712,"9,5","5,6","3,14","5,5","7,8",-2,2023
RA-549,"9,5","8,1","5,02","5,5","7,2",-1,2023
RA-679,"7,5","7,5","5,02","2,0","5,2",-1,2023
RA-571,"9,0","7,9","3,77","3,8","6,2",-2,2023
RA-714,"0,0","8,0","3,14","6,7","8,0",-2,2023
RA-737,"9,5","7,8","7,52","7,0","8,0",0,2023
RA-577,"10,0","8,2","3,77","6,5","8,3",-1,2023
RA-1053,"0,0","9,1","6,27","7,8","9,3",0,2023
RA-731,"8,5","7,6","3,14","6,2","7,3",-1,2023
RA-552,"0,0","5,6","3,14","6,5","6,2",-2,2023
RA-1054,"8,5","8,6","7,52","5,0","8,2",-2,2023
RA-1055,"0,0","7,2","7,52","6,0","5,0",-1,2023
RA-597,"10,0","9,6","7,52","7,8","9,2",-1,2023
RA-624,"9,0","9,2","7,52","8,3","8,8",-1,2023
RA-776,"0,0","7,0","7,52","4,2","2,7",-1,2023
RA-600,"8,5","8,4","7,52","6,5","7,8",-1,2023
RA-1056,"8,5","9,6","7,52","7,8","8,3",0,2023
RA-791,"0,0","8,1","7,52","6,0","4,5",-2,2023
RA-601,"9,0","10,0","7,52","8,0","9,3",0,2023
RA-762,"10,0","9,1","3,14","6,2","5,3",-2,2023
RA-778,"8,5","7,9","7,52","7,3","9,0",-1,2023
RA-628,"9,5","8,9","7,52","9,0","9,7",-2,2023
RA-606,"8,5","8,5","7,52","4,7","7,2",-1,2023
RA-766,"10,0","8,7","4,39","9,2","8,2",-1,2023
RA-607,"8,0","7,5","7,52","4,8","8,7",-1,2023
RA-608,"10,0","7,5","7,52","6,0","6,3",-1,2023
RA-788,"7,9","9,8","2,52","6,0","7,8",0,2023
RA-784,"10,0","9,5","7,52","6,5","8,0",-1,2023
RA-785,"9,0","8,5","7,52","8,2","9,4",-1,2023
RA-587,"8,5","7,0","7,52","2,2","3,2",-1,2023
RA-790,"0,0","8,1","7,52","7,2","7,5",-2,2023
RA-663,"6,9","7,4","7,52","6,7","7,3",-1,2023
RA-664,"9,0","9,6","7,52","8,0","8,0",-1,2023
RA-761,"9,0","9,7","7,52","8,7","8,0",-1,2023
RA-1057,"10,0","10,0","7,52","6,5","6,0",0,2023
RA-629,"10,0","9,4","7,52","7,0","8,0",-1,2023
RA-832,"10,0","9,5","7,52","9,2","7,7",-1,2023
RA-594,"8,5","7,1","6,27","6,2","5,3",-1,2023
RA-617,"0,0","9,0","7,52","5,5","8,2",-1,2023
RA-767,"10,0","8,3","7,52","6,5","6,0",-1,2023
RA-1058,"10,0","8,7","3,14","4,0","6,7",0,2023
RA-747,"10,0","8,0","3,14","1,2","5,0",-1,2023
RA-827,"7,9","8,1","3,14","7,7","8,5",-1,2023
RA-1059,"10,0","9,8","2,52","6,2","9,0",-1,2023
RA-612,"9,0","9,7","3,77","9,3","10,0",-1,2023
RA-1060,"9,0","8,6","3,14","4,3","7,0",-1,2023
RA-665,"9,5","4,9","2,52","5,0","5,3",-1,2023
RA-829,"9,0","9,4","3,14","7,5","9,2",0,2023
RA-1061,"9,5","9,7","3,14","8,8","9,7",-1,2023
RA-1062,"7,4","7,7","3,77","4,8","7,5",0,2023
RA-615,"10,0","9,7","3,14","6,8","8,3",-1,2023
RA-833,"10,0","9,5","3,77","7,3","7,5",-1,2023
RA-630,"9,0","8,6","3,77","4,2","7,2",-1,2023
RA-752,"9,5","9,9","7,52","4,8","8,0",-1,2023
RA-777,"0,0","9,3","7,52","5,3","7,3",0,2023
RA-1063,"9,5","9,5","7,52","4,7","7,0",-1,2023
RA-764,"0,0","9,2","7,52","6,0","9,5",0,2023
RA-1064,"8,5","9,8","7,52","8,3","8,8",-1,2023
RA-1065,"8,5","9,6","7,52","7,7","6,3",-1,2023
RA-772,"0,0","7,2","7,52","5,2","4,3",-2,2023
RA-781,"7,5","9,8","7,52","7,0","8,8",-1,2023
RA-1066,"8,5","6,6","7,52","4,2","8,2",-1,2023
RA-1067,"0,0","7,9","7,52","4,5","6,3",-1,2023
RA-834,"9,0","9,9","6,27","9,0","9,3",-1,2023
RA-722,"8,5","9,6","2,52","4,5","8,2",-1,2023
RA-1068,"8,5","9,3","6,89","8,3","9,7",-1,2023
RA-796,"9,0","9,8","6,27","5,0","6,0",-1,2023
RA-1069,"9,0","7,8","7,52","7,5","6,7",-1,2023
RA-797,"8,5","8,6","7,52","7,0","8,0",-1,2023
RA-647,"7,3","8,7","6,27","4,7","5,7",-1,2023
RA-814,"9,5","9,6","6,89","7,8","8,5",-1,2023
RA-652,"9,0","9,4","6,89","6,2","7,8",-1,2023
RA-816,"7,5","9,8","7,52","7,8","10,0",-1,2023
RA-640,"0,0","7,3","7,52","4,0","5,8",-2,2023
RA-810,"8,0","8,5","7,52","6,3","7,5",0,2023
RA-643,"9,5","8,2","7,52","7,0","7,2",-1,2023
RA-819,"0,0","8,3","7,52","9,7","9,3",0,2023
RA-1070,"9,0","7,8","3,14","5,3","6,3",-1,2023
RA-813,"9,5","8,4","7,52","2,3","5,5",0,2023
RA-636,"0,0","8,3","5,64","9,2","8,7",-1,2023
RA-798,"9,0","8,1","7,52","4,3","7,8",-1,2023
RA-799,"9,5","9,6","5,64","7,8","8,8",-1,2023
RA-815,"0,0","8,6","5,02","7,0","6,0",-1,2023
RA-637,"8,0","9,5","7,52","8,7","8,2",-1,2023
RA-638,"9,0","9,4","7,52","6,8","6,2",-1,2023
RA-801,"0,0","7,5","7,52","6,8","8,3",0,2023
RA-802,"8,0","9,3","7,52","9,3","9,5",-1,2023
RA-1071,"9,0","8,6","7,52","1,7","5,3",-1,2023
RA-817,"9,5","8,8","6,89","5,0","5,7",0,2023
RA-818,"10,0","8,4","7,52","5,5","6,8",1,2023
RA-804,"10,0","8,6","6,27","6,2","7,5",-1,2023
RA-645,"9,0","8,5","6,27","6,5","8,0",-1,2023
RA-479,"9,0","10,0","2,52","9,3","10,0",0,2023
RA-493,"9,5","9,6","2,52","4,7","7,2",0,2023
RA-1072,"9,0","8,6",5,"5,2","8,2",0,2023
RA-536,"8,0","9,3","2,52","5,0","6,8",0,2023
RA-1073,"0,0","8,8","2,52","4,8","7,5",-1,2023
RA-494,"6,9","9,0","2,52","6,3","7,3",-1,2023
RA-496,"0,0","7,1",5,"7,5","9,0",-1,2023
RA-497,"5,3","8,7","2,52","1,7","5,3",-2,2023
RA-1074,"0,0","9,8","2,52","8,0","4,0",-1,2023
RA-486,"8,4","6,4","2,52","3,3","9,0",0,2023
RA-1075,"0,0","9,6",5,"5,0","6,0",-1,2023
RA-578,"9,0","10,0","2,52","9,8","9,5",0,2023
RA-513,"9,5","9,7","2,52","7,2","7,8",0,2023
RA-487,"8,5","9,9",5,"9,2","9,7",0,2023
RA-1076,"9,0","9,7","2,52","9,0","8,0",-1,2023
RA-490,"7,9","7,9","2,52","2,8","8,7",0,2023
RA-491,"9,5","9,6","2,52","3,3","6,7",0,2023
RA-1077,"0,0","9,7","2,52","6,8","7,8",0,2023
RA-484,"6,4","7,5","2,52","3,2","4,0",-1,2023
RA-508,"6,4","8,6","2,52","6,2","8,7",0,2023
RA-495,"9,0","8,4","2,52","6,0","8,8",-1,2023
RA-1078,"5,3","6,8","2,52","4,3","8,5",-2,2023
RA-340,"0,0","9,6","2,52","9,0","8,7",-1,2023
RA-1079,"9,0","8,1","2,52","7,3","7,8",-1,2023
RA-1080,"7,9","10,0",5,"0,0","3,0",-1,2023
RA-1081,"10,0","10,0","2,52","8,0","5,0",-2,2023
RA-1082,"9,5","9,5","2,52","3,5","6,5",-1,2023
RA-1083,"6,8","10,0",5,"7,0","8,0",0,2023
RA-531,"9,5","10,0","2,52","6,3","9,0",0,2023
RA-1084,"8,4","10,0","2,52","5,0","8,5",0,2023
RA-516,"10,0","9,8","2,52","9,0","9,5",0,2023
RA-348,"10,0","8,7","2,52","2,0","6,7",-1,2023
RA-1085,"0,0","9,8","2,52","6,0","7,3",-1,2023
RA-1086,"8,5","9,4","2,52","6,0","5,3",-1,2023
RA-1087,"10,0","9,5","2,52","3,7","7,0",-1,2023
RA-509,"8,5","8,1","2,52","8,2","9,0",-1,2023
RA-499,"7,9","10,0","2,52","5,3","7,8",0,2023
RA-500,"9,5","10,0","2,52","8,5","7,2",0,2023
RA-1088,"9,5","9,8","2,52","6,0","7,5",-1,2023
RA-1089,"9,0","9,5","2,52","6,0","8,0",0,2023
RA-1090,"9,0","9,6","2,52","8,7","9,3",-1,2023
RA-503,"9,5","10,0","2,52","8,7","8,7",0,2023
RA-1091,"8,5","9,0","2,52","9,3","9,7",-1,2023
RA-1092,"7,8","9,8","2,52","6,0","7,8",-1,2023
RA-1093,"7,0","9,3","2,52","9,3","9,0",0,2023
RA-1094,"7,8","9,5","2,52","7,8","9,2",0,2023
RA-1095,"0,0","9,8","2,52","5,8","4,7",-1,2023
RA-324,"5,8","9,0","2,52","8,0","8,7",0,2023
RA-350,"10,0","9,7","2,52","8,8","9,2",-1,2023
RA-517,"4,1","9,0","2,52","4,5","8,7",-1,2023
RA-325,"0,0","7,1",5,"3,8","7,3",0,2023
RA-518,"8,5","8,5",5,"5,5","7,8",0,2023
