RA,IAA,IEG,IPS,math,portuguese,lag,year
RA-244,"7,5","9,4","6,3","6,7","8,0",0,2022
RA-245,"10,0","9,9","7,5","8,3","8,2",-1,2022
RA-246,"8,3","9,4","7,5","8,0","6,7",0,2022
RA-247,"8,3","8,2","7,5","5,3","5,7",0,2022
RA-248,"9,2","7,6","7,5","4,0","5,5",0,2022
RA-249,"6,7","7,4","5,0","2,3","4,2",-1,2022
RA-250,"8,3","8,6","7,5","6,7","6,5",0,2022
RA-251,"10,0","8,1","5,6","5,3","6,3",-2,2022
RA-252,"9,2","2,8","7,5","1,3","1,2",-1,2022
RA-253,"9,2","3,6","5,0","1,0","3,7",-2,2022
RA-254,"10,0","7,4","5,6","5,0","6,8",-1,2022
RA-255,"7,5","3,8","5,0","1,0","2,3",-1,2022
RA-256,"8,8","8,5","5,0","5,3","6,7",0,2022
RA-257,"0,0","6,4","5,6","4,0","5,2",-1,2022
RA-258,"10,0","7,3","5,6","2,7","6,2",0,2022
RA-259,"8,8","2,9","7,5","0,0","2,7",-3,2022
RA-260,"10,0","8,2","7,5","5,7","5,2",0,2022
RA-261,"8,8","7,2","5,6","6,2","5,8",-1,2022
RA-262,"0,0","5,8","5,6","1,3","5,5",-2,2022
RA-263,"5,8","5,6","7,5","3,0","2,8",-2,2022
RA-264,"10,0","9,2","5,6","6,0","5,5",-2,2022
RA-265,"8,3","7,7","7,5","5,3","7,0",0,2022
RA-266,"7,5","5,8","5,6","5,0","6,7",-3,2022
RA-267,"10,0","7,4","5,0","2,3","4,8",-2,2022
RA-268,"9,2","6,7","6,3","7,0","6,8",-1,2022
RA-269,"9,2","8,6","6,3","8,7","9,5",0,2022
RA-270,"8,3","8,4","6,9","8,0","7,2",0,2022
RA-271,"9,2","8,5","5,6","6,3","6,5",-2,2022
RA-272,"9,2","5,7","7,5","5,0","6,8",-1,2022
RA-273,"9,2","5,3","7,5","3,8","4,7",-1,2022
RA-274,"7,9","8,3","7,5","8,1","9,3",1,2022
RA-275,"9,6","6,9","7,5","5,0","6,0",-2,2022
RA-276,"7,1","5,7","5,6","3,7","6,0",-1,2022
RA-277,"7,1","8,8","7,5","7,2","7,0",-1,2022
RA-278,"8,8","9,2","5,6","5,7","5,8",0,2022
RA-279,"9,2","9,9","6,3","9,7","8,3",0,2022
RA-280,"7,5","9,2","7,5","5,7","7,0",0,2022
RA-281,"6,7","6,9","7,5","5,0","6,8",0,2022
RA-282,"8,8","6,8","7,5","4,7","6,3",0,2022
RA-283,"9,6","8,8","7,5","4,5","5,8",-1,2022
RA-284,"6,7","5,1","5,6","7,0","4,5",0,2022
RA-285,"9,2","4,1","7,5","4,0","3,2",-3,2022
RA-286,"7,1","5,8","6,3","4,7","2,3",-2,2022
RA-287,"7,9","3,4","5,0","0,7","2,5",-4,2022
RA-288,"0,0","5,6","6,3",,,-3,2022
RA-289,"0,0","7,8","6,3","5,3","7,5",-1,2022
RA-290,"10,0","3,9","6,3","1,0","2,3",-4,2022
RA-291,"8,3","8,2","6,9","8,0","7,5",0,2022
RA-292,"7,9","3,7","7,5","0,0","5,0",-3,2022
RA-293,"8,8","2,9","7,5","2,0","3,8",0,2022
